358.000000,0.000000,118.000000
364.000000,0.000000,130.000000
372.000000,0.000000,118.000000
379.000000,0.000000,130.000000
386.000000,0.000000,118.000000
393.000000,0.000000,130.000000
52
350.000000,0.000000,123.000000
325.000000,0.000000,123.000000
307.717346,0.000000,119.176270
291.858643,0.000000,114.448418
279.783752,0.000000,106.834656
266.814270,0.000000,98.708305
254.282745,-0.000015,87.372795
240.868164,0.493393,76.027374
227.346878,0.436584,62.736374
212.538589,0.086426,49.837440
195.864166,0.000473,34.056267
178.327576,0.000000,16.127884
152.543976,0.284286,-1.647835
130.616364,0.289368,-10.922661
105.828552,1.052429,-18.275246
75.981506,0.609756,-21.917564
52.070404,0.506165,-15.438309
31.115967,0.415451,-5.823608
0.066653,-0.000008,18.100845
-21.600168,0.000000,37.832611
-43.011024,0.000000,61.212479
-65.091553,-0.000008,82.773811
-100.935333,0.000000,107.474541
-141.734879,4.086594,119.249603
-174.576630,3.382034,122.406136
-219.513535,0.000000,124.562233
-261.366730,0.000000,126.055328
-300.097656,1.452148,116.455658
-325.252747,2.192368,103.960968
-354.820129,3.207794,79.479340
-374.454681,2.456543,47.367157
-385.433899,3.903915,20.199509
-389.547272,4.503052,-2.302628
-382.960938,4.541901,-50.082367
-370.024353,5.323578,-72.846848
-360.418457,3.316864,-83.708481
-341.439209,2.579285,-102.890594
-312.014526,1.554306,-117.849770
-281.964966,0.125534,-128.779526
-254.118011,0.038849,-130.483490
-213.239700,0.000000,-131.688690
-143.717026,0.000000,-133.569199
-93.918625,6.014954,-133.347458
-40.423889,11.602631,-134.248703
-6.951492,9.929504,-131.133102
46.901093,4.222687,-131.558456
86.789879,0.000000,-132.060379
127.462791,0.451874,-130.653534
168.455963,0.000000,-130.215851
209.800262,0.000000,-130.248978
260.598145,0.000000,-129.107483
318.161041,0.000000,-131.854187
